Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Actual (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Volt (V),Oil Temp (F),RPM (RPM),Req Torque (Nm),TGV Map Ratio (mult),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.1-17011][2015 USDM WRX MT (PR3) COBB Custom Features Gen2][Reflash: JasonBeirbrauer_2015WRX_TGV_EGR_stg2_EBCS_v8.ptm - Realtime: JasonBeirbrauer_2015WRX_TGV_EGR_stg2_EBCS_v8.ptm]
5.597,0.00,3.91,11.20,5,100.0,14.36,24.75,11.13,3.28,off,11.17,194,1.000,0.0,0.00,0.00,2049,2,0.50,34.21,90,93,4.48,204,4952,380.00,1.000,100.0,61.57,0
5.618,0.00,3.12,11.26,5,100.0,14.36,24.03,11.13,3.27,off,11.07,192,1.000,0.0,0.00,0.00,2170,2,0.50,34.86,90,93,4.50,204,4971,380.00,1.000,100.0,64.31,0
5.631,0.00,3.12,11.41,5,100.0,14.36,24.73,11.13,3.28,off,11.04,192,1.000,0.0,0.00,0.00,2187,2,0.50,34.86,90,93,4.50,204,4963,380.00,1.000,100.0,64.31,0
5.644,0.00,2.34,11.41,4,100.0,14.36,24.31,11.13,3.28,off,11.17,192,1.000,0.0,0.00,0.00,1964,2,0.50,34.94,90,93,4.50,204,4973,380.00,1.000,100.0,64.31,0
5.664,0.00,2.34,11.17,4,100.0,14.36,23.90,11.13,3.28,off,11.17,192,1.000,0.0,0.00,0.00,2099,2,0.50,34.94,90,93,4.50,204,4963,380.00,1.000,100.0,64.31,0
5.686,0.00,1.56,11.12,4,100.0,14.36,24.45,11.13,3.30,off,11.17,192,1.000,0.0,0.00,0.00,2117,2,0.50,33.77,90,93,4.50,204,4934,380.00,1.000,100.0,64.71,0
5.722,0.00,1.56,11.36,4,100.0,14.36,23.89,11.13,3.30,off,11.17,192,1.000,0.0,0.00,0.00,2113,2,0.50,33.77,90,93,4.50,204,4929,380.00,1.000,100.0,64.71,0
5.726,0.00,0.78,11.41,3,100.0,14.36,23.57,11.13,3.30,off,11.17,192,1.000,0.0,0.00,0.00,2120,2,0.50,33.65,90,93,4.50,204,4945,380.00,1.000,100.0,64.71,0
5.749,0.00,0.78,11.43,3,100.0,14.36,23.63,11.13,3.28,off,11.17,192,1.000,0.0,0.00,0.00,2081,2,0.50,33.65,90,93,4.50,204,4968,380.00,1.000,100.0,64.71,0
5.762,0.00,0.78,11.36,3,100.0,14.36,23.32,11.13,3.25,off,11.17,192,1.000,0.0,0.00,0.00,2094,2,0.50,33.00,90,93,4.48,204,5046,380.00,1.000,100.0,65.10,0
5.788,0.00,0.78,11.38,3,100.0,14.36,23.10,11.13,3.23,off,11.10,192,1.000,0.0,0.00,0.00,2095,2,0.50,33.00,90,93,4.48,204,5059,380.00,1.000,100.0,65.10,0
5.796,0.78,0.78,11.41,2,100.0,14.36,23.19,11.13,3.21,off,11.10,192,1.000,0.0,0.00,0.00,1960,2,1.00,33.51,90,93,4.48,204,5103,380.00,1.000,100.0,66.67,0
5.811,0.78,0.78,11.41,2,100.0,14.36,23.23,11.13,3.18,off,11.10,192,1.000,0.0,0.00,0.00,2011,2,1.00,33.51,90,93,4.48,204,5129,380.00,1.000,100.0,66.67,0
5.838,0.78,0.78,11.50,2,100.0,14.36,23.06,11.13,3.17,off,11.10,192,1.000,0.0,0.00,0.00,2133,2,1.00,33.51,90,93,4.48,204,5160,380.00,1.000,100.0,66.67,0
5.851,2.34,0.78,11.32,1,100.0,14.36,22.38,11.13,3.15,on,11.10,192,1.000,0.0,0.00,0.00,2115,2,1.00,35.26,90,93,4.48,204,5171,380.00,1.000,100.0,68.24,0
5.875,2.34,0.78,11.45,1,100.0,14.36,22.43,11.13,3.15,on,11.10,192,1.000,0.0,0.00,0.00,2080,2,1.00,35.26,90,93,4.48,204,5179,380.00,1.000,100.0,68.24,0
5.885,2.34,0.78,11.31,1,100.0,14.36,22.49,11.13,3.14,on,11.10,192,1.000,0.0,0.00,0.00,2245,2,1.00,35.46,90,93,4.48,204,5200,380.00,1.000,100.0,68.24,0
5.904,2.34,0.78,11.22,1,100.0,14.36,21.59,11.13,3.14,on,11.10,192,1.000,0.0,0.00,0.00,2112,2,1.00,35.46,90,93,4.48,204,5200,380.00,1.000,100.0,68.24,0
5.918,0.78,0.78,11.15,0,100.0,14.36,21.96,11.13,3.14,on,11.10,192,1.000,0.0,0.00,0.00,2131,2,1.00,34.37,90,93,4.48,204,5191,380.00,1.000,100.0,68.63,0
5.947,0.78,0.78,11.21,0,100.0,14.36,22.17,11.13,3.13,on,11.10,192,1.000,0.0,0.00,0.00,2004,2,1.00,34.37,90,93,4.48,204,5211,380.00,1.000,100.0,68.63,0
5.969,1.56,0.78,11.13,0,100.0,14.36,21.52,11.13,3.10,on,11.10,192,1.000,0.0,0.00,0.00,2168,2,1.50,35.71,90,93,4.50,204,5252,380.00,1.000,100.0,69.02,0
5.982,1.56,0.78,11.18,0,100.0,14.36,21.66,11.13,3.10,on,11.10,192,1.000,0.0,0.00,0.00,1998,2,1.50,35.71,90,93,4.50,204,5267,380.00,1.000,100.0,69.02,0
5.996,1.56,0.78,11.24,-1,100.0,14.36,21.50,11.13,3.08,on,11.10,192,1.000,0.0,0.00,0.00,2158,2,2.00,35.07,90,93,4.48,204,5303,380.00,1.000,100.0,69.41,0
6.012,1.56,0.78,11.23,-1,100.0,14.36,20.60,11.13,3.05,on,11.10,192,1.000,0.0,0.00,0.00,2164,2,2.00,35.07,90,93,4.48,204,5333,380.00,1.000,100.0,69.41,0
6.026,1.56,0.78,11.32,-1,100.0,14.36,20.92,11.13,3.05,on,11.10,192,1.000,0.0,0.00,0.00,2112,2,2.00,35.07,90,93,4.48,204,5348,380.00,1.000,100.0,69.41,0
6.047,2.34,0.78,11.26,-1,100.0,14.36,20.47,11.13,3.05,on,11.10,192,1.000,0.0,0.00,0.00,2024,2,2.00,34.30,90,93,4.48,204,5345,380.00,1.000,100.0,69.41,0
6.061,2.34,0.78,11.28,-1,100.0,14.36,20.27,11.13,3.01,on,11.10,192,1.000,0.0,0.00,0.00,2156,2,2.00,34.30,90,93,4.48,204,5397,380.00,1.000,100.0,69.41,0
6.087,2.34,0.78,11.29,-2,100.0,14.36,20.82,11.13,3.01,on,11.10,192,1.000,0.0,0.00,0.00,2137,2,2.00,34.54,90,93,4.48,204,5406,380.00,1.000,100.0,69.41,0
6.118,2.34,0.78,11.28,-2,100.0,14.36,19.69,11.13,3.01,on,11.10,192,1.000,0.0,0.00,0.00,2004,2,2.00,34.54,90,93,4.48,204,5425,380.00,1.000,100.0,69.41,0
6.124,2.34,0.78,11.24,-2,100.0,14.36,20.00,11.13,3.00,on,11.10,192,1.000,0.0,0.00,0.00,2130,2,2.00,34.72,88,93,4.48,204,5438,380.00,1.000,100.0,69.41,0
6.156,2.34,0.78,11.08,-2,100.0,14.36,19.53,11.13,2.99,on,11.10,192,1.000,0.0,0.00,0.00,2138,2,2.00,34.72,90,93,4.48,204,5447,380.00,1.000,100.0,69.41,0
6.160,0.78,0.78,11.09,-3,100.0,14.36,19.23,11.13,2.99,on,11.10,192,1.000,0.0,0.00,0.00,2128,2,2.50,34.90,90,93,4.50,204,5463,380.00,1.000,100.0,69.41,0
6.176,0.78,0.78,11.15,-3,100.0,14.36,19.77,11.13,2.99,on,11.10,192,1.000,0.0,0.00,0.00,2008,2,2.50,34.90,88,93,4.50,204,5466,380.00,1.000,100.0,69.41,0
6.193,0.78,0.78,11.08,-3,100.0,14.36,19.56,11.13,2.97,on,11.10,192,1.000,0.0,0.00,0.00,2043,2,2.50,34.90,90,93,4.50,204,5492,380.00,1.000,100.0,69.41,0
6.208,0.78,0.78,11.16,-3,100.0,14.36,18.89,11.13,2.95,on,11.10,192,1.000,0.0,0.00,0.00,2170,2,2.50,35.15,90,93,4.48,204,5528,380.00,1.000,100.0,69.41,0
6.237,0.78,0.78,11.23,-3,100.0,14.36,18.59,11.13,2.95,on,11.10,192,1.000,0.0,0.00,0.00,2016,2,2.50,35.15,90,93,4.48,204,5534,380.00,1.000,100.0,69.41,0
6.250,2.34,0.78,11.20,-4,100.0,14.36,19.27,11.13,2.94,on,11.10,192,1.000,0.0,0.00,0.00,2126,2,2.50,35.50,90,93,4.50,204,5577,380.00,1.000,100.0,69.41,0
6.264,2.34,0.78,11.13,-4,100.0,14.36,19.01,11.13,2.94,on,11.10,192,1.000,0.0,0.00,0.00,2212,2,2.50,35.50,90,93,4.50,204,5590,380.00,1.000,100.0,69.41,0
6.282,1.56,0.78,10.99,-4,100.0,14.36,18.84,11.13,2.97,on,11.10,192,1.000,0.0,0.00,0.00,2213,2,3.00,34.65,90,93,4.50,204,5594,380.00,1.000,100.0,69.41,0
6.310,1.56,0.78,11.13,-4,100.0,14.36,18.75,11.13,2.95,on,11.10,192,1.000,0.0,0.00,0.00,2102,2,3.00,34.65,88,93,4.50,204,5594,380.00,1.000,100.0,69.41,0
6.323,1.56,0.78,11.06,-4,100.0,14.36,18.33,11.13,2.92,on,11.10,192,1.000,0.0,0.00,0.00,2163,2,3.00,35.91,88,93,4.50,204,5620,380.00,1.000,100.0,69.41,0
6.347,1.56,0.78,10.98,-4,100.0,14.36,18.79,11.13,2.99,on,11.10,192,1.000,0.0,0.00,0.00,2173,2,3.00,35.91,88,93,4.50,204,5641,380.00,1.000,100.0,69.41,0
6.368,0.78,0.78,11.02,-4,100.0,14.36,17.85,11.13,2.96,on,11.10,192,1.000,0.0,0.00,0.00,2017,2,3.00,36.21,88,93,4.50,204,5671,380.00,1.000,100.0,69.41,0
6.374,0.78,0.78,10.93,-4,100.0,14.36,17.55,11.13,2.94,on,11.10,192,1.000,0.0,0.00,0.00,2009,2,3.00,36.21,88,93,4.50,204,5685,380.00,1.000,100.0,69.41,0
6.388,-0.78,0.78,10.88,-5,100.0,14.36,18.05,11.13,2.87,on,11.10,192,1.000,0.0,0.00,0.00,2284,2,3.00,32.75,88,93,4.50,204,5685,380.00,1.000,100.0,69.41,0
6.413,-0.78,0.78,11.04,-5,100.0,14.36,17.98,11.13,2.87,on,11.10,192,1.000,0.0,0.00,0.00,2212,2,3.00,32.75,88,93,4.50,204,5699,380.00,1.000,100.0,69.41,0
6.421,-0.78,0.78,11.17,-5,100.0,14.36,17.37,11.13,2.94,on,11.10,192,1.000,0.0,0.00,0.00,2270,2,3.00,32.75,88,93,4.50,204,5748,380.00,1.000,100.0,69.41,0
6.439,0.78,0.78,11.24,-5,100.0,14.36,17.14,11.13,2.94,on,11.10,192,1.000,0.0,0.00,0.00,2105,2,3.00,34.33,88,93,4.50,204,5769,380.00,1.000,100.0,69.41,0
6.468,0.78,0.78,10.89,-5,100.0,14.36,17.37,11.13,2.92,on,11.10,192,1.000,0.0,0.00,0.00,2225,2,3.00,34.33,88,93,4.50,204,5755,380.00,1.000,100.0,69.41,0
6.481,-0.78,0.78,10.98,-5,95.7,14.36,16.59,11.13,2.87,on,11.10,192,1.000,0.0,0.00,0.00,2208,2,3.00,34.35,88,93,4.50,204,5780,353.81,1.000,100.0,69.41,0
6.495,-0.78,0.78,10.77,-5,76.5,14.36,17.11,11.13,2.82,on,11.10,192,1.000,0.0,0.00,0.00,2323,2,3.00,34.35,88,93,4.50,204,5874,256.09,1.000,100.0,69.41,0
6.515,-2.34,0.78,10.90,-6,65.5,14.36,16.37,11.13,2.78,on,11.10,192,1.000,0.0,0.00,0.00,2113,2,3.50,34.24,88,93,4.50,205,5945,265.21,1.000,100.0,3.14,0
6.529,-2.34,0.78,11.22,-6,42.7,14.36,15.95,11.13,2.74,on,11.10,192,1.000,0.0,0.00,0.00,2094,2,3.50,34.24,88,93,4.50,205,6127,197.71,1.000,100.0,3.14,0
6.552,-2.34,0.78,11.42,-6,19.6,14.36,15.42,11.13,2.72,on,11.10,192,1.000,0.0,0.00,0.00,2066,2,3.50,34.24,88,93,4.50,205,6369,153.12,1.000,100.0,3.14,0
6.576,1.56,0.78,11.12,-7,0.0,14.36,13.65,11.13,2.66,on,11.10,190,1.000,0.0,0.00,0.00,2112,2,4.50,35.33,88,93,4.52,205,6597,0.00,1.000,29.9,0.00,0
6.588,1.56,0.78,10.50,-7,0.0,14.36,10.56,11.13,2.55,on,11.10,190,1.000,0.0,0.00,0.00,2169,2,4.50,35.33,88,93,4.52,205,6597,0.00,1.000,29.9,0.00,0
6.601,-1.56,0.78,10.43,-8,0.0,14.36,5.00,11.13,2.42,on,11.10,190,1.000,0.0,0.00,0.00,1923,2,5.00,36.59,88,93,4.48,205,6565,0.00,1.000,8.3,0.00,0
6.614,-1.56,0.78,11.90,-8,0.0,14.36,0.73,11.13,1.40,on,11.10,190,1.000,0.0,0.00,0.00,1156,2,5.00,36.59,88,93,4.48,205,6524,0.00,1.000,8.3,0.00,0
6.638,5.47,0.78,13.24,-9,0.0,14.36,-1.76,11.60,0.93,on,11.58,190,1.000,0.0,0.00,0.00,639,2,6.50,26.37,88,93,2.34,205,6506,0.00,1.000,8.3,0.00,0
6.662,5.47,0.78,11.87,-9,0.0,14.36,-5.81,12.53,0.61,on,12.50,190,1.000,0.0,0.00,0.00,783,2,6.50,26.37,88,93,2.34,205,6506,0.00,1.000,8.3,0.00,0
6.675,-3.12,0.78,11.06,-9,0.0,14.36,-7.08,12.53,0.56,on,12.50,190,1.000,0.0,0.00,0.00,568,2,5.00,11.10,88,93,2.48,205,6506,0.00,1.000,8.3,0.00,0
6.699,-3.12,0.78,11.17,-9,0.0,14.36,-8.38,12.53,0.47,on,10.57,190,1.000,0.0,0.00,0.00,591,2,5.00,11.10,88,93,2.48,205,6497,0.00,1.000,8.3,0.00,0
6.723,0.00,0.78,11.70,-7,0.0,14.36,-9.44,12.53,0.35,off,10.57,190,1.000,0.0,0.00,0.00,607,2,5.50,11.03,88,93,1.48,205,6439,0.00,1.000,8.7,0.00,0
6.747,0.00,0.78,11.73,-7,15.3,14.36,-9.74,12.53,0.31,off,10.57,190,1.000,0.0,0.00,0.00,500,2,5.50,11.03,90,93,1.48,205,6390,0.00,1.000,8.7,0.00,0
6.751,0.00,0.78,12.23,-5,49.0,14.36,-10.04,12.53,0.30,off,10.63,190,1.000,0.0,0.00,0.00,570,2,11.50,9.50,88,93,2.02,205,6364,200.49,1.000,68.5,0.00,0
6.775,0.00,0.78,12.66,-5,100.0,14.36,-9.69,12.53,0.30,off,10.63,190,1.000,0.0,0.00,0.00,673,2,11.50,9.50,90,93,2.02,205,6304,337.65,1.000,68.5,0.00,0
6.797,2.34,0.78,14.20,-3,100.0,14.36,2.48,12.53,1.07,on,12.50,190,1.000,0.0,0.00,0.00,848,2,21.50,6.67,90,93,2.94,205,6225,380.00,1.000,100.0,67.06,0
6.811,2.34,0.78,13.90,-3,100.0,14.36,3.09,12.53,1.75,on,12.50,190,1.000,0.0,0.00,0.00,1905,2,21.50,6.67,90,93,2.94,205,6192,380.00,1.000,100.0,67.06,0
6.837,2.34,0.78,14.37,-3,100.0,14.36,3.48,11.41,1.77,on,12.50,190,1.000,0.0,0.00,0.00,2445,2,21.50,6.67,90,91,2.94,205,6080,380.00,1.000,100.0,67.06,0
6.843,12.50,0.78,13.21,-2,100.0,14.36,3.93,11.13,1.58,on,12.50,190,1.000,0.0,0.00,0.00,2294,2,0.50,24.64,90,91,3.88,205,5987,380.00,1.000,100.0,69.41,0
6.857,12.50,0.78,11.76,-2,100.0,14.36,4.82,11.13,1.81,on,11.37,190,1.000,0.0,0.00,0.00,2188,2,0.50,24.64,90,91,3.88,205,5790,380.00,1.000,100.0,69.41,0
6.871,3.91,0.78,11.36,-2,100.0,14.36,6.00,11.13,1.72,on,11.10,190,1.000,0.0,0.00,0.00,2088,2,0.00,21.80,90,91,4.04,205,5678,380.00,1.000,100.0,69.41,0
6.897,3.91,0.78,10.74,-2,100.0,14.36,6.83,11.13,1.89,on,11.10,190,1.000,0.0,0.00,0.00,2259,2,0.00,21.80,90,91,4.04,205,5394,380.00,1.000,100.0,69.41,0
6.911,-2.34,0.78,10.59,-1,100.0,14.36,7.30,11.13,2.00,on,11.10,190,1.000,0.0,0.00,0.00,2244,2,-2.00,19.82,90,91,4.12,205,5162,380.00,1.000,100.0,69.41,0
6.934,-2.34,0.78,10.49,-1,100.0,14.36,8.78,11.13,2.00,on,11.10,190,1.000,0.0,0.00,0.00,2247,2,-2.00,19.82,90,91,4.12,205,5019,380.00,1.000,100.0,69.41,0
6.946,-2.34,0.78,10.53,-1,100.0,14.36,9.69,11.13,2.16,on,11.10,190,1.000,0.0,0.00,0.00,2213,3,-2.00,19.82,90,91,4.12,205,4662,380.00,1.000,100.0,69.41,0
6.960,-3.91,1.56,10.65,-2,100.0,14.36,10.88,11.13,2.22,on,11.10,190,1.000,0.0,0.00,0.00,2170,3,-5.00,18.89,90,91,4.12,205,4598,380.00,1.000,100.0,56.86,0
6.989,-3.91,1.56,10.79,-2,100.0,14.36,12.05,11.13,2.30,on,11.10,190,1.000,0.0,0.00,0.00,2260,3,-5.00,18.89,90,91,4.12,205,4407,380.00,1.000,100.0,56.86,0
7.002,-2.34,2.34,10.78,0,100.0,14.36,12.62,11.13,2.33,on,11.10,190,1.000,0.0,0.00,0.00,2182,3,-7.50,19.15,90,91,4.14,205,4212,380.00,1.000,100.0,52.55,0
7.028,-2.34,2.34,10.89,0,100.0,14.36,13.63,11.13,2.39,on,11.10,190,1.000,0.0,0.00,0.00,2226,3,-7.50,19.15,90,91,4.14,205,4032,380.00,1.000,100.0,52.55,0
7.033,-1.56,3.12,11.03,2,100.0,14.36,14.67,11.13,2.43,on,11.10,190,1.000,0.0,0.00,0.00,2128,3,-8.50,18.66,90,91,4.14,205,3976,380.00,1.000,100.0,52.55,0
7.048,-1.56,3.12,10.92,2,100.0,14.36,16.43,11.13,2.48,on,11.10,190,1.000,0.0,0.00,0.00,2157,3,-8.50,18.66,90,91,4.14,205,3823,380.00,1.000,100.0,52.55,0
7.061,-1.56,3.12,10.90,2,100.0,14.36,17.02,11.13,2.44,on,11.10,190,1.000,0.0,0.00,0.00,2337,3,-8.50,18.66,90,91,4.14,205,3774,380.00,1.000,100.0,52.55,0
7.074,-2.34,3.91,10.30,5,100.0,14.36,16.86,11.13,2.44,on,11.10,190,1.000,0.0,0.00,0.00,2269,3,-4.00,18.44,90,91,4.06,205,3780,380.00,1.000,100.0,52.55,0
7.090,-2.34,3.91,10.38,5,100.0,14.36,17.89,11.13,2.42,on,11.10,190,1.000,0.0,0.00,0.00,2225,3,-4.00,18.44,90,91,4.06,205,3826,380.00,1.000,100.0,52.55,0
7.106,-2.34,3.91,10.57,5,100.0,14.36,17.47,11.13,2.51,on,11.10,190,1.000,0.0,0.00,0.00,2257,3,-4.00,18.44,90,93,4.06,205,3959,380.00,1.000,100.0,52.55,0
7.124,-5.47,4.69,10.77,9,100.0,14.36,18.41,11.13,2.37,on,11.10,190,1.000,0.0,0.00,0.00,2243,3,1.00,18.58,90,93,4.00,205,4103,380.00,1.000,100.0,52.55,0
7.142,-5.47,4.69,11.39,9,100.0,14.36,18.63,11.13,2.56,on,11.10,190,1.000,0.0,0.00,0.00,2241,3,1.00,18.58,90,93,4.00,205,4053,380.00,1.000,100.0,52.55,0
7.168,0.00,4.69,12.00,13,100.0,14.36,19.27,11.13,2.60,on,11.10,190,1.000,0.0,0.00,0.00,2057,3,-20.00,19.02,90,93,4.12,205,4013,380.00,1.000,100.0,52.55,0
7.189,0.00,4.69,11.98,13,100.0,14.36,20.41,11.13,2.68,on,11.10,190,1.000,0.0,0.00,0.00,2278,3,-20.00,19.02,90,93,4.12,205,3918,380.00,1.000,100.0,52.55,0
7.202,3.91,4.69,11.70,15,100.0,14.36,21.32,11.13,2.69,on,11.10,190,1.000,0.0,0.00,0.00,2231,3,-9.50,23.41,90,93,4.22,205,3974,380.00,1.000,100.0,52.55,0
7.216,3.91,4.69,11.31,15,100.0,14.36,21.74,11.13,2.78,on,11.10,190,1.000,0.0,0.00,0.00,2281,3,-9.50,23.41,88,93,4.22,205,4034,380.00,1.000,100.0,52.55,0
7.230,-1.56,4.69,10.97,16,100.0,14.36,22.05,11.13,2.81,on,11.10,190,1.000,0.0,0.00,0.00,2090,3,-14.50,24.32,88,93,4.22,205,4072,380.00,1.000,100.0,52.55,0
7.254,-1.56,4.69,11.23,16,100.0,14.36,22.87,11.13,2.87,on,11.10,190,1.000,0.0,0.00,0.00,2233,3,-14.50,24.32,88,93,4.22,205,4044,380.00,1.000,100.0,52.55,0
7.272,0.00,4.69,11.45,15,100.0,14.36,23.03,11.13,2.84,on,11.10,190,1.000,0.0,0.00,0.00,2144,3,-13.50,24.07,88,93,4.28,205,4030,380.00,1.000,100.0,52.55,0
7.288,0.00,4.69,11.47,15,100.0,14.36,23.19,11.13,2.81,on,11.10,190,1.000,0.0,0.00,0.00,2211,3,-13.50,24.07,88,93,4.28,205,4036,380.00,1.000,100.0,52.55,0
7.317,0.00,4.69,11.70,15,100.0,14.36,24.33,11.13,2.82,on,11.10,190,1.000,0.0,0.00,0.00,2265,3,-13.50,24.07,88,93,4.28,205,4101,380.00,1.000,100.0,52.55,0
7.331,2.34,4.69,11.74,15,100.0,14.36,24.13,11.13,2.86,on,11.10,190,1.000,0.0,0.00,0.00,2155,3,-4.50,24.50,88,95,4.28,205,4187,380.00,1.000,100.0,52.55,0
7.358,2.34,4.69,12.02,15,100.0,14.36,23.91,11.13,2.90,on,11.10,190,1.000,0.0,0.00,0.00,2178,3,-4.50,24.50,88,95,4.28,205,4230,380.00,1.000,100.0,52.55,0
7.379,4.69,4.69,12.01,14,100.0,14.36,24.08,11.13,2.91,on,11.10,190,1.000,0.0,0.00,0.00,2322,3,-3.00,26.17,88,95,4.30,205,4261,380.00,1.000,100.0,52.94,0
7.392,4.69,4.69,11.95,14,100.0,14.36,24.04,11.13,2.91,on,11.10,190,1.000,0.0,0.00,0.00,2102,3,-3.00,26.17,88,95,4.30,205,4318,380.00,1.000,100.0,52.94,0
7.406,5.47,4.69,11.83,14,100.0,14.36,24.22,11.13,2.95,on,11.10,190,1.000,0.0,0.00,0.00,2220,3,0.00,25.79,88,95,4.34,205,4379,380.00,1.000,100.0,52.94,0
7.430,5.47,4.69,11.91,14,100.0,14.36,24.11,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,1969,3,0.00,25.79,88,95,4.34,205,4405,380.00,1.000,100.0,52.94,0
7.443,5.47,4.69,11.80,13,100.0,14.36,24.39,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2221,3,0.50,30.32,88,95,4.34,205,4458,380.00,1.000,100.0,52.94,0
7.456,5.47,4.69,11.79,13,100.0,14.36,24.35,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,1981,3,0.50,30.32,88,95,4.34,205,4496,380.00,1.000,100.0,52.94,0
7.488,5.47,4.69,11.32,12,100.0,14.36,24.42,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2216,3,0.50,29.78,88,95,4.36,205,4509,380.00,1.000,100.0,52.94,0
7.494,5.47,4.69,11.40,12,100.0,14.36,23.86,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2328,3,0.50,29.78,88,95,4.36,205,4525,380.00,1.000,100.0,52.94,0
7.509,3.12,4.69,11.30,11,100.0,14.36,23.77,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,1982,3,0.50,31.02,88,95,4.40,205,4544,380.00,1.000,100.0,53.33,0
7.529,3.12,4.69,11.37,11,100.0,14.36,24.14,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2066,3,0.50,31.02,88,95,4.40,205,4569,380.00,1.000,100.0,53.33,0
7.542,3.12,4.69,11.56,11,100.0,14.36,23.88,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2191,3,0.50,31.02,88,95,4.40,205,4578,380.00,1.000,100.0,53.33,0
7.556,4.69,4.69,11.36,10,100.0,14.36,23.69,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2143,3,0.50,29.25,88,95,4.36,205,4580,380.00,1.000,100.0,54.12,0
7.571,4.69,4.69,11.53,10,100.0,14.36,23.76,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2101,3,0.50,29.25,88,95,4.36,205,4596,380.00,1.000,100.0,54.12,0
7.594,4.69,4.69,11.34,9,100.0,14.36,23.52,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2122,3,1.00,30.56,88,97,4.36,205,4632,380.00,1.000,100.0,54.51,0
7.608,4.69,4.69,11.48,9,100.0,14.36,23.37,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,2140,3,1.00,30.56,88,97,4.36,205,4639,380.00,1.000,100.0,54.51,0
7.623,4.69,4.69,11.35,9,100.0,14.36,23.37,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2033,3,1.00,30.56,88,97,4.36,205,4641,380.00,1.000,100.0,54.51,0
7.647,3.91,4.69,11.24,9,100.0,14.36,23.10,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,2188,3,1.00,31.63,88,97,4.36,205,4643,380.00,1.000,100.0,54.90,0
7.664,3.91,4.69,11.09,9,100.0,14.36,22.82,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,2211,3,1.00,31.63,88,97,4.36,205,4636,380.00,1.000,100.0,54.90,0
7.672,2.34,4.69,11.21,8,100.0,14.36,23.41,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,2148,3,1.00,30.69,88,97,4.36,205,4641,380.00,1.000,100.0,54.90,0
7.687,2.34,4.69,11.18,8,100.0,14.36,22.81,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2165,3,1.00,30.69,88,97,4.36,205,4636,380.00,1.000,100.0,54.90,0
7.717,2.34,4.69,11.42,8,100.0,14.36,23.09,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,2269,3,1.00,30.69,88,97,4.36,205,4653,380.00,1.000,100.0,54.90,0
7.730,3.91,4.69,11.23,7,100.0,14.36,22.37,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2218,3,1.00,31.76,88,97,4.36,205,4639,380.00,1.000,100.0,54.90,0
7.744,3.91,4.69,11.38,7,100.0,14.36,22.76,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,2094,3,1.00,31.76,88,97,4.36,205,4639,380.00,1.000,100.0,54.90,0
7.763,3.91,4.69,10.96,6,100.0,14.36,22.37,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2154,3,1.00,32.66,88,97,4.36,205,4634,380.00,1.000,100.0,54.90,0
7.790,3.91,4.69,10.99,6,100.0,14.36,22.81,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2162,3,1.00,32.66,88,97,4.36,205,4629,380.00,1.000,100.0,54.90,0
7.803,3.12,4.69,11.11,6,100.0,14.36,22.47,11.13,2.97,on,11.10,190,1.000,0.0,0.00,0.00,2092,3,1.00,31.60,88,97,4.34,206,4634,380.00,1.000,100.0,54.90,0
7.828,3.12,4.69,11.03,6,100.0,14.36,22.20,11.13,2.99,on,11.10,190,1.000,0.0,0.00,0.00,2266,3,1.00,31.60,88,97,4.34,206,4618,380.00,1.000,100.0,54.90,0
